id,date,lon,lat,depth,type,level,loc,incident,city,province
2358,2019-05-08 23:48:46,122.49,24.8,127,ML,3.5,台湾宜兰海域,天然地震,中华人民共和国,中华人民共和国
2359,2019-05-08 04:39:52,95.27,37.36,7,ML,3.4,青海大柴旦,天然地震,海西蒙古族藏族自治州,青海省
2360,2019-05-07 20:55:26,94.49,33.39,8,ML,3.0,青海杂多,天然地震,玉树藏族自治州,青海省
2361,2019-05-04 19:51:23,119.57,21.83,13,Ms,4.1,南海,天然地震,中华人民共和国,中华人民共和国
2362,2019-05-03 20:02:46,84.75,45.5,16,ML,3.2,新疆克拉玛依,天然地震,克拉玛依市,新疆维吾尔自治区
2363,2019-05-03 03:31:17,99.48,22.27,19,ML,3.4,云南孟连,天然地震,普洱市,云南省
2364,2019-05-02 18:44:43,122.01,24.52,40,ML,3.6,台湾宜兰海域,天然地震,中华人民共和国,中华人民共和国
2365,2019-05-02 15:57:59,102.99,30.39,14,Ms,4.4,四川芦山,天然地震,雅安市,四川省
2366,2019-05-02 07:37:10,75.58,39.16,17,ML,3.4,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2367,2019-05-01 16:13:13,75.79,36.96,17,ML,3.4,新疆塔什库尔干,天然地震,喀什地区,新疆维吾尔自治区
2368,2019-04-29 21:36:03,81.51,33.52,7,Ms,3.8,西藏日土,天然地震,阿里地区,西藏自治区
2369,2019-04-29 20:55:20,83.7,32.23,9,ML,3.2,西藏改则,天然地震,阿里地区,西藏自治区
2370,2019-04-29 08:23:20,73.62,39.33,86,Ms,4.2,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2371,2019-04-28 04:27:36,97.39,39.19,10,Ms,4.9,甘肃肃南,天然地震,酒泉市,甘肃省
2372,2019-04-28 00:41:59,91.52,38.28,8,ML,3.2,青海茫崖,天然地震,海西蒙古族藏族自治州,青海省
2373,2019-04-27 23:23:49,121.02,41.6,9,ML,3.2,辽宁义县,天然地震,锦州市,辽宁省
2374,2019-04-27 01:19:12,104.78,28.15,10,ML,3.6,四川珙县,天然地震,宜宾市,四川省
2375,2019-04-26 15:20:38,106.9,40.04,22,ML,3.8,内蒙古鄂托克旗,天然地震,鄂尔多斯市,内蒙古自治区
2376,2019-04-24 23:55:25,103.33,28.09,0,ML,3.1,四川雷波,塌陷,凉山彝族自治州,四川省
